sentence,label
"« Il aura l'occasion de s'exprimer sur cette question dans les mois qui viennent », indique son entourage, précisant qu'il juge notamment que « l'islam doit aussi faire sa transition laïque .Mercredi, à l'Assemblée nationale, rares ont été les voix à critiquer la mesure sur le port de signes religieux.Cet arrêté du bureau est « contraire à la liberté d'expression », ont affirmé des députés communistes dans un communiqué.« Dans une République laïque, nul ne peut être discriminé en fonction de son appartenance religieuse.",1
"Les députés de la majorité diront alors s'ils veulent que je poursuive ma mission de transformation de l'Assemblée jusqu'à la fin de la législature.Matteo Salvini et Viktor Orban lui ont rendu un fier service.Ce 28 août, le ministre italien de l'intérieur et chef de file de la Ligue ­ (extrême droite) et le premier ministre nationaliste hongrois sont à Milan.D'une seule voix, ils désignent Emmanuel Macron comme leur ennemi numéro un.",0
Il joue un peu avec les mots...Emmanuel Macron est donné devant vous dans les intentions de vote.Comment expliquez-vous cette dynamique?Je n'observe pas la dynamique dont vous parlez.,1
"Ils parlent de l'écologie politique dans les salons parisiens, mais ils ne la font pas.»   Son retranchement derrière la volonté de « responsabiliser » les acteurs des mondes agricole et agroalimentaire, et donc d'éviter d'imposer de nouvelles normes, lui est aussi reproché au sein de la majorité.Plusieurs députés ont vu dans le rejet de certaines de leurs propositions le souci du ministre de préserver les filières économiques ainsi que les syndicats agricoles.« Sa boussole, c'est la FNSEA », critique un député de gauche.",1
"François de Rugy, qui n'a pas encore commenté publiquement la dernière copie du gouvernement, s'exprimera devant l'association des journalistes parlementaires en fin de matinée.Une invitation que le président de l'Assemblée a lui-même sollicitée la semaine dernière, au moment des premières fuites sur le projet gouvernemental, alors que le communiste Pierre Laurent devait initialement être l'invité de cette conférence de presse hebdomadaire.L'entourage du président de l'Assemblée refusait, mardi, de dévoiler la teneur de son intervention mais une source parlementaire s'attendait le même jour à ce qu'il fasse « des passages médias pour dire tout le mal qu'il pense de la révision constitutionnelle .Le président de l'Assemblée sera aussi l'invité de Franceinfo jeudi matin.",1
"L'économie totale envisagée pour les finances publiques s'élevait en effet à 130 millions d'euros sur les 500 millions au total que devaient coûter ces premières mesures, desquelles il n'avait pas été envisagé de retirer la hausse de 50 euros en moyenne du chèque énergie au 1er janvier pour les bénéficiaires actuels (environ 3,6 millions de foyers), ainsi que la « surprime » à la conversion des voitures pour les foyers modestes.« Ces dernières semaines nous ont appris à ne surtout pas laisser s'installer les incompréhensions une fois qu'elles sont décelées », plaide le même conseiller.Quant aux 130 millions d'euros que l'exécutif espérait économiser grâce au retrait de ces mesures, « il faudra les trouver ailleurs », reconnaît-on.« On a eu le sentiment de prendre le risque de ne pas être compris », ajoute une source au gouvernement, alors que l'ensemble des mesures sera bien soumis à la discussion des députés et intégré au PLF actuellement en débat.",1
"Jusqu ' ici considérés comme les frères siamois de la primaire , Arnaud Montebourg et Benoît Hamon voient leurs relations se tendre dans la dernière ligne droite de la campagne. En jeu , la mainmise sur l ' aile gauche de l ' électorat. Les deux impétrants devaient encore s ' affronter par meetings interposés , mercredi soir à Paris. Cette montée en tension n ' est pas surprenante .",0
"Ce projet engage-t-il Nicolas Sarkozy ? Le texte adopté doit être considéré comme un dénominateur commun. Ensuite , chaque candidat expliquera devant les Français s ' il croit bon de s ' en écarter ou non. Je pense que Nicolas Sarkozy ira plus loin sur certains points , mais c ' est à lui de le dire .",1
"Je n'en suis pas persuadé », estime Michel Raison (Haute-Saône).L'ancien rapporteur de la loi Chatel sur la consommation, votée fin 2007, est aussi opposé à ce que les grandes surfaces puissent négocier librement leurs prix avec leurs fournisseurs.« Le problème, c'est la multitude de PME qui vont être massacrées par les grandes surfaces, plaide-t-il.J'aurais souhaité, sur ce point, que l'on teste la loi Chatel un an ou deux avant d'en voter une autre.",0
"L'heure est même au mea culpa à visage découvert.« J'ai rencontré une personne ayant participé au mouvement.Elle touche le smic.Or, c'est exactement à elle que s'adresse la politique que nous menons en supprimant les cotisations sociales,par exemple.",1
"Or après l ' élection de Hollande , cette majorité s ' est délitée et , sur certains textes fondamentaux , comme le budget , le gouvernement n ' a pas eu de majorité. Le résultat est que la proportion de textes sur lesquels l ' Assemblée a eu le dernier mot , faute d ' accord entre elle et le Sénat , a considérablement augmenté : un sur cinq sous Hollande , alors que ce n ' est arrivé qu ' une fois sous Sarkozy avec un Sénat de droite. De ce point de vue , Hollande sera plus à l ' aise avec un Sénat à droite car cela aura au moins le mérite de la clarté : les ministres sauront d ' avance à quoi s ' en tenir en venant défendre un texte , et les médias ne gloseront plus sur l ' incapacité du gouvernement à tenir sa majorité. Par ailleurs , on peut s ' attendre qu ' une majorité de droite ne fasse pas de l ' obstruction systématique , que le futur président du Sénat soit Gérard Larcher ou Jean-Pierre Raffarin [ tous deux UMP ] .",1
"Matignon avait d'abord expliqué qu'elles ne s'imposaient plus en raison notamment de l'annulation de la hausse des taxes sur le carburant, il y a deux semaines.Mais l'explication a fait long feu.« Zigzags » Interrogé par Le Monde, l'entourage d'Edouard Philippe assume cette volte-face en moins de deux heures : « Il nous apparaissait normal de supprimer les compensations à la hausse de la taxe carbone à partir du moment où cette hausse était elle-même supprimée.Mais au vu de l'incompréhension suscitée par cette annonce, le premier ministre a préféré revenir aux mesures initiales », explique un conseiller, qui évoque un « choix politique » préféré à un « choix budgétaire .",1
"Si le texte est adopté avant la fin de l'année, le dispositif pourrait s'appliquer à partir de juillet 2009.Le président de la République a donc pressé le gouvernement d'accélérer la cadence législative... tant qu'il a la main sur l'ordre du jour.La révision constitutionnelle adoptée le 21 juillet nécessite en effet, pour ce qui concerne les rapports entre le Parlement et le gouvernement, l'adoption de nouveaux textes de loi et la modification du règlement des Assemblées.En attendant que celles-ci interviennent - au mieux avant le 1er mars 2009 -, le gouvernement continuera à soumettre les parlementaires au rythme imposé par le chef de l'Etat.",0
"S ' il s ' en tient officiellement le plus éloigné possible , il est plus prolixe en privé. Lui qui s ' est vu si souvent reprocher d ' être commentateur a retrouvé sa posture favorite , sourit un ministre. A son retour de Corrèze , le président a envoyé des SMS à des proches pour leur dire qu ' il avait pu mesurer le grand degré de défiance des militants PS à l ' encontre de Manuel Valls. Selon plusieurs sources , le chef de l ' Etat juge sévèrement la campagne de son ancien premier ministre .",1
"Chacun y voit d ' abord son intérêt. A l ' Elysée , François Mitterrand comprend très vite combien cette renaissance de l ' extrême droite peut utilement semer la discorde à droite. Du côté du RPR de Jacques Chirac comme de l ' UDF de ­Valéry Giscard d ' Estaing , l ' on n ' est pas mécontent de trouver au FN des alliés occasionnels. Ainsi de l ' élection municipale partielle de Dreux en 1983 où centristes , chiraquiens et lepénistes fusionnent leurs listes au second tour et remportent la mairie contre les ­socialistes .",1
"Je serai ce soir à Hanovre avec mon collègue allemand Sigmar Gabriel. C ' est là qu ' on m ' attend , c ' est là où le ministre de l ' économie et de l ' industrie doit être. Il continue à être très vigilant Car le ministre tient à le faire ­savoir : il est toujours à son poste , le 3e étage de Bercy n ' est pas vacant. L ' attention médiatique ne modifie en rien les choses , assure son entourage .",1
"On était encalminé à6 % d ' intentions de vote il y a encore quelques jours ! Mais je reste prudent avec les sondages , j ' en vois la fragilité. J ' en déduis toutefois qu ' il existe une gauche vivante. Dans ce quinquennat , sans doute la gauche n ' a pas assez porté l ' espoir .",1
"Appeler à manifester ou ne pas appeler à manifester?Au lendemain de ­l'attaque terroriste qui a fait deux morts à Strasbourg, mardi 11 décembre, en pleine crise des « gilets jaunes », le monde politique avance sur un fil.Se focaliser sur l'attaque risque de passer pour une volonté d'éclipser le mouvement social.Mais la présence d'un tueur en fuite permet-elle de laisser des manifestations se tenir?",1
"Le joker du 49-3 étant brûlé pour cette session parlementaire , qui court jusqu ' à cet été - textes budgétaires exceptés - , les récalcitrants de la majorité attendent les prochains votes de pied ferme. Les frondeurs ont déjà un oeil sur la loi Rebsamen qui concerne le droit du travail. Il est de ce point de vue presque heureux que l ' exécutif n ' ait à cette heure plus de grands textes d ' orientation économique en soute. Injonction à l ' unité L ' épisode va de plus cristalliser les oppositions internes dans la perspective du congrès du PS de juin .",1
"Ce n ' est plus la gauche qui est en difficulté , c ' est la droite. Hamon peut devenir président de la République , renchérit un proche du président. Alors que la gauche semblait inévitablement éliminée en avril prochain , la possibilité d ' une qualification au second tour semble de nouveau possible. On regarde ce qu ' il se passe avec des yeux ronds comme des soucoupes ! , confie un député PS , qui n ' en revient pas .",1
"Quant à la possibilité de soumettre à l'autorisation du Parlement la prolongation de l'intervention militaire au-delà d'une durée de quatre mois, le secrétaire d'Etat l'écarte catégoriquement, les opérations en Afghanistan ayant été engagées avant le vote de la révision constitutionnelle.« Il ne peut y avoir de rétroactivité », indique M. Karoutchi.L'opposition réclame, au-delà du travail en commissions, un débat au Parlement afin de « redéfinir la mission » des troupes françaises en Afghanistan.« La stratégie doit changer », affirme Pierre Moscovici dans un entretien à Libération.",1
"Maintenant, il faut trouver un accord », confie un des responsables de la majorité.Ce faisant, M. Sarkozy a mis le chef du gouvernement, François Fillon, au pied du mur : à charge pour lui d'aboutir.Ce qui signifie qu'en cas d'échec il devrait en assumer la responsabilité.L'entourage du premier ministre, qui pendant la discussion en première lecture, avait été pour le moins discret, est donc monté en première ligne.",1
"Et l ' exécutif , à la réflexion , n ' entend pas donner l ' impression d ' y avoir renoncé. Il faut donner le sentiment que l ' on réformera jusqu ' à la dernière seconde , résume un proche du chef de l ' Etat. Tant qu ' il nous restera du temps , de la capacité , de l ' énergie. Le président de la République a confirmé , le 14 juillet , que la loi sur le numérique revêtirait cette dimension , en ce qu ' elle devrait stimuler les créations d ' entreprises et l ' emploi dans les nouvelles technologies .",1
"L'opposition s'engouffre dans le vide laissé par le silence de Macron.De LFI à LR en passant par le PS, elle invoque l'article 40 du code de procédure pénale, au nom duquel l'Elysée aurait dû alerter le parquet des actes violents de Benalla.« Y a-t-il eu des manoeuvres pour étouffer cette affaire?», lance sur Europe 1 Laurent Wauquiez, président de LR.",1
"C ' est chaud , en ce moment , glisse l ' un des agents. Avant de tempérer : En même temps , c ' était déjà pas mal sous Sarkozy. Comme si le rythme du président normal avait peu à peu rattrapé celui de l ' hyperprésident . Au MAC/VAL , le chef de l ' Etat slalome entre les maquettes des gares de demain , s ' enquiert des délais de construction .",1
"En tout cas , de moins en moins à un héritage. C ' est la leçon de ces quelques mois , que nous avons passés à sillonner la France à l ' approche de l ' élection présidentielle. On ne vote plus par esprit de classe ou tradition familiale. On ne se dit plus socialiste , gaulliste ou communiste .",0
"Photo Mais un tel exploit réclame de réunir dans un même ensemble des familles socialistes , de Manuel Valls à Benoît Hamon et Martine Aubry , qui affichent désormais leurs divisions. Valls et Aubry sur la même photo , ce n ' est pas gagné , mais on va devoir y travailler , expliquait ces derniers jours l ' entourage du premier ministre. Pour la frange la plus critique du PS , l ' issue du congrès dépend fortement de l ' interprétation politique qui sera tirée par l ' exécutif des résultats des départementales qui s ' annoncent déjà comme un échec pour le pouvoir. Si après ces élections , Hollande continue avec Valls une politique qui ne réunit pas la gauche socialiste , on s ' expose à un congrès d ' affrontement violent .",1
"Je ne sais pas si ce jugement a été rendu de manière impartiale. Fabien Engelmann n ' était même pas au plafond remboursable , ajoute la présidente du parti d ' extrême droite. Son avenir est entre les mains des juges , pointe un de ses très proches collaborateurs. Manière de dire que son devenir ne concerne plus le parti .",1
"Comme si, à force de vouloir laver plus blanc que blanc, M. de Rugy allait trop loin.Au risque d'alimenter une forme d' « antiparlementarisme .Les charges les plus vives viennent naturellement des rangs de l'opposition.Le groupe de La France insoumise (LFI), qui a fait de lui sa bête noire depuis plusieurs mois, en profite pour le pilonner.",0
"Mais , du côté de l ' exécutif , on assume ce choix. Nos opposants savent très bien quelle est l ' attitude de la gauche : on se retire , on l ' a toujours fait , explique un proche de M. Hollande. Mais ce n ' est pas un argument de campagne. On ne peut pas le dire avant .",1
"C'est un grand chamboule-tout de la carte électorale, qui va constituer une petite révolution pour le Parlement et un défi majeur pour l'exécutif.La réforme des institutions voulue par Emmanuel Macron, présentée en conseil des ministres le 23 mai et dont l'examen va démarrer le 19 juin en commission à l'Assemblée nationale, doit mécaniquement entraîner un vaste redécoupage des circonscriptions législatives dans l'optique du scrutin de 2022.Un chantier jugé « compliqué » par les spécialistes de la carte ­électorale et qui représente un vrai casse-tête pour l'exécutif, ­confronté à d'innombrables ­contraintes techniques et poli­tiques.« C'est un bouleversement total de la carte électorale, très complexe à mener », observe Benjamin Morel, docteur en science politique à l'ENS Cachan, qui évoque « une usine à gaz » et « un monstre à la Frankenstein », tant le nombre de paramètres à respecter rendent l'équation subtile.",1
"Malgré les propos de tribune , aucune proposition forte n ' a émergé pour contrer ces disparités. Récemment , certains candidats avaient eu l ' instinct d ' enfourcher cette thématique. Lors de la campagne de la primaire , Nicolas Sarkozy avait promis de mettre en place un plan Marshall en faveur de la ruralité à l ' image de son planpour les banlieues de 2008. A l ' époque , l ' ancien président jouait sur les divisions en se posant en défenseur de ceux qui ne cassent pas des abris de bus .",1
"Au total, la commission du Sénat a adopté 120 amendements au projet de Mme Boutin, soit une réécriture de la quasi-totalité des articles.La ministre dit s'attendre à une « bataille difficile ».Sur ce point, elle n'a sans doute pas tort.Le contexte de crise oblige-t-il à réajuster le calendrier parlementaire ?",0
"Avec un argument : accuser le gouvernement de vouloir ouvrir la voie à une privatisation de la SNCF.Un scénario rendu possible, selon eux, par l'ouverture du secteur ferroviaire à la concurrence et le changement de statut de l'entreprise.Une transformation prévue : lundi soir, l'Assemblée a approuvé le passage de la SNCF en une société nationale « à capitaux publics », à compter de 2020.Le début de la fin d'un service public, craignent les troupes d'André Chassaigne et de Jean-Luc Mélenchon, ainsi que les socialistes.",1
"Tout ce qu ' on dit est aujourd ' hui disséqué , déformé , exploité. C ' est violent mais c ' est la campagne. On lèche , on lâche , on lynche Ces premières difficultés , relatives à l ' identité politique encore mal définie d ' un candidat très neuf sur la scène politique , sèment néanmoins le doute chez un certain nombre d ' élus PS , qui ne peuvent se résoudre à soutenir M. Hamon et envisageaient de rejoindre M. Macron. Tout cela n ' est pas très pro , soupire l ' un d ' eux .",1
"Le président avait fait son choix depuis un mois , ce qui ne l ' a pas empêché d ' agiter d ' autres noms comme celui de Xavier Bertrand , pour jouer avec les nerfs de ses adversaires. Il a cité mon nom pour semer le trouble à droite , en montrant qu ' il était rassembleur et ouvert , confie le président de la région Hauts-de-France , qui a décidé de rester fidèle à LR. Pendant ce temps , ils pouvaient dealer discrètement avec Edouard Philippe et Juppé. Ils avançaient masqués , ajoute un proche de M. Bertrand .",1
