text,value
"Lösningen för den extrema arbetslösheten hos nyanlända - Free Trade Zones? I kölvattnet av det svenska integrationshaveriet höjs trevande och förvirrade röster från den politiska eliten. Framförallt handlar det om att bekämpa arbetslösheten hos utomeuropeiska invandrare. Storsatsingar i form av åtgärder som instegsjobb och etableringslotsar har visat sig vara fiaskon i bästa fall och i värsta fall fungerat som rena statssubventioner för kriminell verksamhet. Från vänsterblocket haglar flosklerna om att ""ta ansvar"" och ""utreda"". Det är uppenbart att ingen plan finns för att komma åt arbetslösheten och bidragsberoendet hos stora invandrargrupper. På högersidan pratar man om att ""sänka trösklarna"" på arbetsmarknaden, dvs öppna dörren för riktiga låglönearbeten genom att försämra anställningsskydden, USA style. Vi kan dock redan nu räkna ut att sänkta löner inte kommer avhjälpa arbetslösheten bland utomeuropeiska invandrare, eftersom instegsjobben, där staten subventionerar upp till 80% (!) av lönen, varit fullkomligt ineffektiv. Vi befinner oss i en djup och eskalerande kris som hela det politiska etablissemanget står handfallna inför. I denna tråd fokuserar vi på åtgärder mot den extrema arbetslösheten bland utomeuropeiska invandrare som faktiskt har potential att fungera. Det är dags att tänka utanför boxen och titta på pragmatiska lösningar, inte ideologiska. Först ut -. (FTZ). Free Trade Zones är ett koncept U-länder och diktaturer använt sig av för att attrahera multinationella företag till sina länder. Det går i korthet ut på att man etablerar en zon, avgränsad från övriga samhället, i anslutning till en hamn eller flygplats. Inom denna zon upprättar man en statssanktionerad ""sweat shop"". Där finns ingen facklig närvaro eller anställningsskydd. Skatterna är nästan obefintliga. Arbetarna bor i sovsalar i baracker, sliter 16 timmar om dagen och har i stort sett inga rättigheter. På så vis kan storföretagen tillverka produkter otroligt billigt för export på den globala marknaden. Modellen för Sverige skulle kunna vara att den nyanlända har exempelvis två år på sig att skaffa ett jobb, sedan dras bidragen in och personen hänvisas till närmsta FTZ. Vill man inte jobba där får man klara sig utan inkomst. Vad tror ni? Är Free Trade Zones en lösning som har potential att lyckas? Finns det andra åtgärder som skulle kunna komma till rätta med arbetslösheten bland invandrargrupper långt från den svenska arbetsmarknaden?. (Jag är medveten om att förslaget om Free Trade Zones är fullkomligt barockt. Men detta är tyvärr situationen sveriges politiker har skapat.).",0
"Samlingstråd: Afghanernas sexuella våld & övrig kriminalitet, domar, fupar etc. Eftersom sammanställningen blev för lång så är trådstarten uppdelad i två delar. Andelen rapporterade unga som ägnar sig åt våldsamheter ofta i grupp och med inslag av sexuell karaktär ökar dramatiskt i antal. Trådarna växer i antal och den gemensamma nämnaren visar sig alltför ofta vara 'ensamkommande' med afghanskt ursprung, av den anledningen finns det därmed ett behov av en samlingstråd. Nedan följer en uppräkning av dom fall som undertecknad snubblat över det senaste året men det finns förmodligen fler, här hjälps vi nu åt med att sakligt sammanställa dessa brott. Syftet är att utröna om detta är ett allvarligt samhällsproblem eller om det kan avfärdas som pojkstreck med socioekonomiska förklaringar. Så länge personerna inte är dömda så ska deras namn maskas, när dom fallit så faller även det kravet. Varje brott har fått ett löpnummer (ex. 2016#01), använd detta som referens om du har tilläggsinformation som du vill posta. Har du ett 'nytt' brott att rapportera så försök att följa detta format:. (Löpnummer) Brottsrubricering. (Med länkar). Namn, Pnummer och ursprung, är vederbörande redan DÖMD så skriv. (Länk). (Länk). (Länk). (Länk). (Länk). Kort sammanfattning, tas med fördel ur stämningsansökan. Ord som media av hänsyn och pressetiska skäl väljer att använda. Fritt. Då det med Morgan Johanssons goda minne inte kommer att föras någon statistik angående ursprung så kan tråden tjäna som hjälp för Morgans efterträdare att ompröva hans beslut. Hur länge tror ni att Morgan kan gömma sig bakom socioekonomiska förklaringsmodeller och om det är ett allvarligt problem vad gör vi åt det?. /Provokatör.",0
"Fattigt land bluffar om att krig pågår för att bli flykting och snabb peng/möjligt? Kommer något litet fattigt land där insynen är obefintlig någon gång snart att ""Bluffa"" om att krig/folkmord pågår för att skapa en snabb väg för befolkningen till asyl i väst...???  Skulle nog i praktiken räcka att regissera en ""låtsasfilm"" med lite explosioner, några lik, gråtande barn och mödrar för att saken ska vara klar.inte en helt omöjlig bluff att genomföra...Svenska politiker skulle säkert starta en luftbro innan"" bläcket hunnit torka i internet-meddelande-världen"".",1
Alternativ för Sverige har blockerats från att lägga upp nya filmer på Youtube. Som rubriken lyder har AfS blockerats från att göra nya inlägg på Youtube och två av deras filmer har tagits bort med hänvisning till HMF. Regeringens möte med Youtube verkar haft önskad effekt. Källa:. Vad tänker Flashback om detta? Är det bra att eventuellt kränkande inlägg censureras eller utgör detta ytterligare ett steg mot ett totalitärt samhälle?.,1
"Könskvotering för alla asylsökande! Jag har grubblat på det här ett tag och har kommit fram till att de som kommer till Sverige borde könskvoteras. När man tittar på en del bilder på ""Ensamkommande Flyktingbarn"" så ser man aldrig några tjejer. Hur kan det komma sig? Det är väl de som har mest anledning att fly hit för att undkomma diskriminering, risken för könsstympning och tvångsäktenskap. Det vore väl nåt att kämpa för? Kom igen Gudrun (och övriga antirasister) och gör en insats!.",0
"ETC: Flyktingarna är de verkliga Sverigevännerna. Marcus Priftis skriver en krönika i ETC om hur ""Sverigevänner"" egentligen är ""Sverigehatare"" och att flyktingarna är ""Sverigeälskare"" Kommentarer?.",1
"Varför går det inte att totalstoppa all invandring? Jag fattar inte, är politiker och makthavare helt jävla handfallna?. Alla vet att det kommer inte att finnas varken jobb eller bostäder till dessa enorma mängder ensamkommande muslimska MÄN (är det inte dags att sluta kalla dem BAAARN?), varken nu eller i framtiden. Vad har de att hämta här och vad ska vi med dem till?. Tydligen går det bra att bo i deras hemländer eftersom de lämnar mödrar, fäder, syskon och barn kvar. Om alla dessa nu skulle stanna i Sverige, könsfördelningen blir ju helt makaber med denna inströmning av svartmuskiga ensamstående män. Vill vi ha denna islamisering av Sverige som denna invandring medför?. Enligt islam är det förbjudet för muslimer att bo i icke-muslimska länder. Lösningen på detta problem anser dessa muslimer är att svenskrna ska konvertera till islam eller bli dödade eller lämna Sverige. Jag tycker att denna inställning till oss svenskar är väldigt oroande. Tydligen är våra politiker inte alls oroade över detta framtidsscenario. Som sagt, jag fattar inte att denna groteska, makabra meningslösa massinvandring tillåts fortsätta månad efter månad i det oändliga???!!!.",0
"Bilden av Sverige svartnar utomlands - Sverige används som varnande exempel. I utlandet framställs Sverige numera som världskänt för sin oerhört generösa flyktingpolitik (paradiset nr 1), sina allt fler no-go-zoner, de ökade våldtäkterna samt de okontrollerbara följderna från invandringen. Sverige, som en gång i tiden har setts som ett bra exempel på ett vällyckat land med god ekonomi och kraftig tillväxt mörknar allt mer i utländska betraktares ögon och ses närmast som ett. på hur det går om ""socialismen låter invandringen gå för långt"" (fritt citerat). Bilden av Sverige är alltså tämligen negativ i utlandet. Förutom uppenbara problem som brottslighet, pensionärsfattigdom och eskalerad bidragspolitik lyfter utländska medier (vilket innebär en stor skillnad gentemot svenska sådana) fram den ökade misstron mot den rådande politiken samt att allt fler protesterar mot besluten som leder till att Sverige blir allt mer otryggt och förfallet.",0
"Integration. Om integrationen skulle lyckas i Sverige skulle man bli tvungen att förbjuda alla andra språk än svenskan. En riksreligion skulle införas, ungefär som på vikingatiden. Hur skulle det se ut. Fast vem vill integreras med invandrare, det är dem som ska jobba för att integreras. Sverige har gjort mer än att mötas halvvägs men personligen vill jag inte mötas halvvägs, för mig räcker det med att stå på kajjen å vinka av dem på båten. Dem som bytar namn etc det är dem som har förstått en del av poängen i problematiken. /Vi ärver jorden vi lever på av våra förfäder och lånar av våra barn.",0
"Integration och invandring i historien. Folk som diskuterar integration och invandring tycker jag ofta saknar historiskt perspektiv. Man talar om hur man tror att det kommer bli, men tänker inte på hur det har gått tidigare gånger. Historien, såvida den inte är reviderad, är det enda korrekta att grunda sina åsikter utifrån, allt annat är spekulationer. Så i den här tråden tänkte jag att man kunde ha en diskussion utifrån historiska fakta. T.ex: ""Mångkulturen funkade i Byzans"", ""romarna hade hög invandring och lyckades bli en stormakt"" eller ""Libanon var ett välfungerande land innan muslimerna blev majoritet"". Helt enkelt, delge exempel på hur invandring och integration har sett ut i historien, och vilka konsekvenserna har blivit. Diskutera sedan utifrån dessa historiska fakta i tråden.",1
"Asylsökande män på vanlig grundskola i Uppsala. Årsta högstadium (Palmbladsskolan) är en grundskola med barn på 11-15 år, årskurs 6-9. I skolbyggnaden finns även en asylenhet med sju klasser asylsökande män. De är placerade efter kunskapsnivå och därför placerats i år 7-9. Åldersmässigt är de dock äldre, det ser man när man besöker skolan. De är i en asylprocess och åldersbedömningen är ännu inte gjord, den görs i slutet av asylprocessen. I majoriteten av fallen stämmer inte den ålder som den asylsökande angivit. Dessa asylsökande män delar alla utrymmen på skolan med pojkar och flickor 11-15 år, de trängs i matköer, i soffan i uppehållsrummet, de delar toalettutrymmen, de delar omklädningsrum och duschar. Det faktum att de är vuxna och är många till antalet (sju klasser) gör att skolan domineras av vuxna män. De är mycket högljudda, hörs i hela skolbyggnaden och ockuperar spel mm som finns på skolan. Inte lätt när man är mycket mindre och yngre att få plats eller utrymme. De pekar på flickorna och kommenterar och skrattar. De startar så våldsamma slagsmål att polisen har larmats och ryckt ut till skolan. Exempelvis 3 oktober kom polis till skolan. Såväl SKL, Sveriges kommuner och landsting och Migrationsverket har gått ut och varnat för att blanda vuxna och barn i verksamheter och vill se en lagstiftning mot detta. Vuxna som arbetar på skolan kontrolleras mot brottsregistret och det av en viktig anledning. Årsta högstadium (Palmbladsskolan) Uppsala sticker ut på ett negativt sätt i Skolinspektionens enkät hösten  2016, speciellt när det gäller trygghet. Här upplever man mindre trygghet än på andra skolor. Årsta högstadium får 6,8 i trygghetsindex av föräldrar att jämföra med landets genomsnitt på 8,4. Några exempel från skolenkäten: Dubbelt så många elever anger att det finns elever de är rädda för, här är det 14% som instämmer helt och hållet att jämföra med 7% för samtliga skolor. Även personalen ger lägre index för trygghet. Likaså föräldrarna ger lägre siffror för trygghet än på andra skolor. På frågan om föräldern skulle rekommendera barnets skola säger 29% ja, att jämföra med samtliga skolor där 51% säger ja. Enkätsvaren finns på Skolinspektionens hemsida. Skolan har inte presenterat en enda åtgärd.",0
"Kan invandrare byta efternamn? har invandrare möjlighet att byta till ett svenskt efternam?. För att få svar smidigast undaber jag de utan kunskap svara. Får man byta utan att gifta sig med en svensk?. Har hört att det isf. måste vara påhittat, stämmer detta? Typ: tigerbladsson, men inte vanliga johansson, osv. Vad säger lagen?.",1
"MP hotar med mer generös invandringspolitik. INRIKES Publicerad 12 juni. Mp hotar bryta samarbete med s. Annars blir det inget samarbete alls. mellan partierna vid en eventuell. röd-grön seger i valet nästa år. Det. ger språkröret Maria. Wetterstrand till Rapport. -Vi kommer. inte att kunna samarbeta med social-. demokraterna om inte flykting- och. asylpolitiken förändras, säger hon. som tar. betydligt större ansvar för framför. allt barns situation. sid 110. ---. Värt att tänka på när man ska välja i valet. Kommer en S eller M-regering släppa in flest (tävlan i humanitet?)? MP är skickliga att utpressa, tillskillnad mot V, och kan mycket väl få igenom denna fråga. Det skulle vara djupt olyckligt med ökad invällning, ja rentav en katastrof, eller vad tycker ni?.",0
"Blonda vackra kvinnor, den egentliga anledningen till invandringen. Vad är det värdefullaste vi har som nation? Jag anser att det är vårt folks gener. Vid en invasion så skulle man kunna tänkas offra alla tillgångar för att skydda just detta. Vi skulle kunna bygga upp allt det materiella igen från grunden men vi skulle aldrig kunna få tillbaka ett utplånat stamträd som tagit hela jordens evolution framtill nu att förädla till nuvarande tillstånd. Blomman på vårt stamträd är våra vackra kvinnor. Om du frågar mig så är de kröningen av hela skapelsen. Jag tror att det är just de som är den främsta anledningen till att folk ifrån fjärran länder söker sig hit, för att få en chans att beblanda sig men de vackraste varelserna på planeten. Har någon av er tänkt i samma banor? Varför talas det så tyst om detta?.",0
"480 000 sexbrott mot kvinnor i Sverige : på ett år, bilden avslöjar ""sanningen"". Allt fler kvinnor säger sig vara utsatta för sexualbrott. Nya siffror från Brå visar att 480 000 händelser drabbade svenska kvinnor under 2015. Det är fler än något tidigare år. Vi kan inte säga vad det beror på. Den här undersökningen innehåller inte de verktygen,. Ja vet vad det beror på!. Det är en vit man som givetvis tafsar på en mörkhyad tjej. Det är helt klart att vita män är överrepresenterade att tafsa på kvinnor? Detta gäller även i Sverige eftersom artikel handlar om just Sverige. I texten säger man sig veta varför det ökar. Det första man brukar göra är att blunda och att skylla på något annat. Att det ökar med sexbrott beror givetvis på att det är fler som vågar anmäla. Detta är ett utmärkt exempel på att vilseleda människor.  Givetvis vågar fler anmäla, men det är även högre nivån att personer tvekar anmäla idag eftersom de vet att åtalat läggs ner på löpande band.  Märkligt att inte Finland har denna höga statistik på sexbrott.  Måste bero på spriten. Att sexuella brott ökade dramatiskt i somras beror inte heller på något annat än vädret!. Det är vädret fel att kvinnor blir våldtagna!. Vad skyller man på nu när det är kallt ute? Att våldtäktsmannen frös och försöka värma sig i kvinnans jacka?. tack och lov för Norge långt upp i skogen! slipper se skiten. tycker synd om kvinnorna.",0
"Segregation, rasism och invandringspolitik! Jag postade detta på socialism.nu för att jag var intresserad av vad knäppskallarna skulle svara, men de var tydligen inte så intresserade av att ge några konkreta förslag till förändring utan föredrar att bara sitta och klaga på samhället etc (som vanligt). Så jag bestämde mig att posta min lilla fråga här. Jag bor i Stockholm. Jag stöder högern, och en fråga som ligger mig varmt om hjärtat är invandringspolitiken.
Vårt samhälle har stora problem med segregation och rasism (hos både svenskar och utlandsfödda svenskar). Ute i förorten har de fått bilden av att den etniska befolkningen består av en hög elaka rasister. Allt medan kriminella gäng får större makt, handlingskraft och inflytande över de yngre ute i förorterna (invandrargäng kallas de visst :P ). Detta leder i sin tur i rent ut sagt - bestialiska brott, bl.a. mot etniska svenskar, som sedan kablas ut i media. Detta leder till fördomar och generalisering av invandrade svenskar osv. (jag har själv påverkats starkt, t.ex. när en vän till mig råkade väldigt illa ut). Extremhögern skyller allt på rasen/kulturen etc, medan extremvänstern skyller allt på svenskarna och samhället (har jag fått intryck av ). Jag tror att båda delar ansvaret, dvs. kulturen som kommer in, den svenska kulturen och samhället.
Nu skulle jag vilja veta vad ni (vänster inriktade personer) skulle göra för reformer i samhället, om ni t.ex. fick vara statsminister i 10 år med majoritet i riksdagen osv. (absolut makt). Jag vill se realistiska förslag, icke något ideologiskt dravel med abstrakta idéer utan konkreta förslag som är tänkbara i praktiken. Kan även utöka perspektivet till 15 år om ni vill :P. Min tanke är icke att håna någon eller liknande, visa mig samma respekt är ni snälla !.
.",1
"Mohamed hotar fly Litauen: ""Bidragen är för låga"", nu vill han till Sverige istället. Jag tog citat från facebook, har ingen tillgång till hela texten. Men fråga är: är det en flyktning om han väljer land pga hög bidrag? Och hur Östländerna ska ta in flyktningar om själv flyktningar vill inte leva med sån låg bidrag? När börjar människor fatta att det. är inte fred som lockar MENA folk här?. Om någon har tillgång till hela artiklen kan skriva vad står det mer om Mohammed.",1
Invandrare och socialbidrag i Skellefteå. Skellefteås kommunledning har beslutat att tillåta invandrare i Skellefteå att få behålla sitt socialbidrag även om dom har andra sidoinkomster för att underlätta integrationen. Jag kan förstå den bakomliggande tanken att nyligen invandrade personer har det svårare att komma in på arbetsmarknaden och ofta blir det deltider som inte get tillräckliga inkomster ... men det måste vara rättvist för alla medborgare. Jag hörde det precis på lokalnyheterna så vet inte exakta siffror för var gränsen går för extrainkomsterna.,0
"Invandrare i klacken = tecken på lyckad integration? Jag har på senare tid sett att det dycker upp fler och fler invandrare i de allsvenska klackarna, typ AIK, Malmö och IFK. Är detta tecken på någonting bra?. Är det bra att fler invandrare blir fans till svenska lag? Det borde ju vara ett tecken på en lyckad integration för dessa personer. Vilket lag har flest inavndrare i sin klack? Alltså av de stora svenska klubbarna(ej Syrianska osv). Jag har sett invandrare som rest med sina allsvenska lag till andra städer(vilket får anses som att man då är ett hängivet fan).",1
